Question ID,Contributor aka Name,In Progress / Finished,Avg Result,Question,Class, Answer
1612,,,9,What is the purpose of the memory hierarchy?,N/A,
1117,,,8.88,How would you attempt to learn a new programming language (e.g.&#44; Perl 6)?,COS264,
200,,,8.83,Talk about the use of queuing structures in simulation.,SYS402,
272,,,8.83,Discuss binary search trees&#44; describing their structure and contents.,COS250,
1137,,,8.8,In the animation process&#44; how are particles and gases different than objects such as walls and tables?,COS425,
509,,,8.8,What is a primary key? What is a foreign key? How are they related?,COS341,
502,,,8.8,What is the essence of the client/server architecture?,COS341,
37,,,8.8,Describe B2B&#44; B2C&#44; and C2C relationships and illustrate each.,SYS310,
1357,,,8.8,What are the three types of instructions in the MIPS instruction set?,COS381,
348,,,8.78,Compare any two of the following languages: PHP&#44; Perl&#44; Java&#44; Javascript.,COS264,
690,,,8.78,What are some characteristics of object-oriented programming languages?,COS382,
1174,NJC,X,8.77,How does the queue work?,COS121,A queue is FIFO list. That means that the first thing to go in the array is the first that comes out. Its like a line. When people stand on the line for something&#44; the first person on the line is the first person to get served. You join the line at the back and leave at the front.
1270,,,8.75,Create a finite state machine that computes the parity of the input.,COS381,
1426,SRW,X,8.71,Compare and contrast the roles of crossover versus mutation in genetic algorithms.,SYS411,Crossover makes changes to individuals within a population by mixing them in some way with other individuals&#44; while mutation changes an individual randomly&#44; causing variation within the population.
1425,,,8.71,Describe the operation of a typical rule-based expert system from initiation through termination.,SYS352,
1630,,,8.67,What is the role of a system analyst?,N/A,
1192,,,8.67,How can a project manager ensure team meetings are productive?,COS340,
1684,,,8.67,How do you perform usability testing?,N/A,
1689,NJC,X,8.67,"COS 314: What are the ideas in the web philosophy of ""Don't make me think""?",SYS214,This basically means that if you design a website that is easy and quick to use and navigate through then the user doesn't mind looking through your site. But if the site is hard to navigate through then the user will probably leave the site and will not be interested even if you site is really important.
1690,,,8.67,How does copyright affection your profession on a day-to-day basis?,N/A,
1701,,,8.67,divide and conquer algorithm?,N/A,
1703,,,8.67,Describe the basic process for transmitting secure data using a public-key cryptosystem.,N/A,
1714,SRW,X,8.67,What is meant by event driven programming?,N/A,Using event listeners and event handlers to drive the logical flow. This means that the program waits for some kind of outside input and responds to it&#44; as opposed to just running through a sequence of commands.
1723,AK,X,8.67,What is a deontological ethical framework?,COS 311,"Deontological ethics or deontology (from Greek deon&#44; ""obligation&#44; duty""; and -logia) is the normative ethical position that judges the morality of an action based on the action's adherence to a rule or rules. It is sometimes described as ""duty"" or ""obligation"" or ""rule"" -based ethics&#44; because rules ""bind you to your duty""."
926,,,8.67,Discuss multiplexing and list some approaches.,N/A,
928,,,8.67,What is exponential complexity? Give an example.,N/A,
932,,,8.67,What are some potential problems with dynamic memory management?,N/A,
90,BN,X,8.67,Contrast forward chaining and backward chaining in an inferencing environment.[follow on] Which does CLIPS use most naturally?,SYS352,Backwards chaining starts with a goal and tries to prove it using the set of initial facts.  Forward-chaining starts with the initial facts and starts establishing everything that can be established from those facts.  CLIPS more naturally supports forward chaining
171,,,8.67,Distinguish two-tier client-server architectures from three-tier and given advantagesof each.,SYS394,
270,,,8.67,When considering a tree data structure&#44; what is the meaning of depth of a node?[follow on] Height of the tree? [follow on] Degree of a node?,COS250,
1024,,,8.67,What functionality is provided by a B2B site?,N/A,
714,,,8.67,How does a hash function work? [follow on] Why go to the trouble of hashing?,COS250,
609,,,8.67,Convert the following octal number to binary and decimal: 473,COS381,
153,,,8.67,Contrast the following types of keys: candidate&#44; primary&#44; alternate&#44; foreign&#44; concatenated,SYS390,
1055,,,8.67,How do you characterize a greedy algorithm? Give an example.,N/A,
1079,,,8.67,Could a hash table be used to avoid sorting?,N/A,
1103,,,8.67,What are some typical uses of javascript? Where does it execute?,N/A,
1108,,,8.67,compare and contrast stored procedures vs. host language queries.,,
1189,,,8.67,What is a communication protocol? Conceptually&#44; what two aspects of communication does a protocol specify?,COS331,
1213,,,8.67,What is the difference between static and dynamic linkers? What problems with static linkers were dynamic linkers trying to solve?,COS284,
1242,,,8.67,What is the difference between continuous and discrete simulation?,N/A,
1247,,,8.67,How do noise reduction filters work?,N/A,
1350,,,8.67,What are white hat and black hat hackers?,N/A,
1379,,,8.67,What is the difference between vector graphics and raster graphics?,N/A,
1396,,,8.67,What does the box model look like for the sample page on the board?,N/A,
1470,,,8.67,What is Big-Oh notation? Give a couple of examples of algorithms and their associated Big-Oh formula.,N/A,
1496,,,8.67,What does AJAX stand for&#44; and how does AJAX work?,N/A,
1354,,,8.67,How would you start learning about a new CS topic (e.g.&#44; image searching algorithms)?,COS310,
1560,,,8.67,List some of the major machine learning paradigms or methods.,SYS411,
1438,,,8.67,Create a 2:1 multiplexor.,COS381,
1581,,,8.67,What is source code versioning? What sorts of tools would you use to accomplish this?,N/A,
1191,,,8.67,What factors are suggestive of a project risk that must be actively managed?,COS340,
1604,,,8.67,What was the most important paper you read in software studio? Why?,N/A,
1609,,,8.67,Why are ORMs attractive?,N/A,
1335,,,8.67,Explain the importance of knowing the business to successful systems analysis,SYS390,
1152,,,8.65,Create a binary search tree by inserting the following items in the order given:,COS121,
,,,,8 2 4 3 7 5 9 1 6,,
1227,,,8.65,What are some differences between client-based languages and server-based languages?,COS264,
1147,,,8.64,What does a systems analyst do?,SYS392,
1119,,,8.63,Why is it important to maintain balance in trees? Name and briefly describe one approach.,COS265,
719,,,8.6,How would you analyze the performance of a recursive function?,COS320,
440,,,8.6,A number of ways to control access to a data communications medium have been conceived&#44;including ALOHA&#44; slotted ALOHA&#44; CSMA and CSMA/CD. Pick one and describe how it works.,COS331,
488,,,8.6,What is the Hawthorne effect? (Peopleware),COS340,
154,,,8.6,What is cardinality and what does it show?[follow on] What does a cross tick with crows feet mean?,SYS390,
1331,SRW,X,8.58,How does a C compiler use a jump table to implement a switch() statement?,COS284,Each case gets a different memory address. A jump table lists all of these addresses and the index is used to move control flow into the correct position in the table.
1626,,,8.5,What is the difference between polygonal modeling and NURBS modeling? Advantages?,N/A,
1513,,,8.5,What is the role of a type system for a programming language?,COS382,
1671,,,8.5,How do you calculate a surface normal for a patch surface (Bezier&#44; etc)?,N/A,
1182,,,8.5,Describe a method for measuring the performance of a portion of an application.,COS284,
1146,,,8.5,What does a systems analyst do?,SYS392,
1751,,,8.5,What is a RISC processor? What are the characteristics of a RISC architecture?,N/A,
530,,,8.5,How would you explain to a friend what rendering is?,COS350,
406,,,8.5,What is a minimum spanning tree applied to a weighted graph? [follow on] What is ituseful for?,COS320,
828,,,8.5,2-tier vs. 3-tier,N/A,
527,,,8.5,When calculating the light intensity of a point on a surface it is sometimes criticalto know something about a surface normal. What is that?,COS350,
5,,,8.5,What are some barriers to communication within an organization?,IAS330,
833,NJC,X,8.5,why is feedback important?,COS314,Feedback is important because this is the way that you can find out what things you did well and what things you need to work on and things that you missed or should add. Basically it is so that you find out if the project you are working on is what people will like or not.
462,,,8.5,Compare three types of team organization used in software development.,COS340,
689,,,8.5,Earlier this morning - student stated complexity as O(200 m^2 n^2) - why did this make the algorithms instructor unhappy?,COS320,
221,,,8.5,If you were involved in performing sensitivity analysis while running a simulation&#44;what would you be doing and why?,SYS402,
199,,,8.5,Is there any advantage to using a simulation language over using a general purposelanguage?,SYS402,
860,,,8.5,What is a balanced tree? Why is it important?,N/A,
875,AK,X,8.5,How does AJAX work?,N/A,http://en.wikipedia.org/wiki/Ajax_(programming)
451,,,8.5,What are two types of noise encountered in data communications? [follow on] What arecommon causes of each?,COS331,
82,,,8.5,What are some ways of controlling the order in which rules fire in a CLIPS program?,SYS352,
118,,,8.5,What does an Event-Response table contain? [follow on] Why use one?,SYS390,
1016,,,8.5,What is the difference between discrete and continuous simulations?,N/A,
1039,,,8.5,Describe the differences between traditional engineering design and concurrent engineering.,N/A,
627,SRW,X,8.5,What are some reasons for learning and writing in assembly language?,COS381,Reverse engineering compiled code. Squeezing every bit of optimization out of a program. Understanding what is going on under the hood.
283,,,8.5,What is an adjacency list/matrix?,COS250,
969,,,8.5,What is an optimization that an application programmer may apply to their code to execute efficiently on an architecture with a memory hierarchy? You may use a matrix-matrix multiply as an example if one does not come to mind.,COS284,
1075,SRW,X,8.5,What types of problems are well suited for neural networks?,N/A,Optimization and classification problems that are quantifiable and have no good brute force solution.
1096,,,8.5,What are the basic concepts of key frame animation?,N/A,
1205,,,8.5,What is normalization?,N/A,
1187,,,8.5,What are preconditions and postconditions?,COS320,
1297,,,8.5,draw a RS-232 waveform and describe how the signal is received (especially for a noisy signal),N/A,
1295,,,8.5,Describe how this transistor works.,ENP352,
1298,,,8.5,interpret circuit on board,N/A,
1346,,,8.5,What is compositing? How is it useful in animation production?,COS425,
1432,,,8.5,greedy algorithm - describe,N/A,
1445,,,8.5,OO languages: smalltalk&#44; C &#44; Java,N/A,
1456,,,8.5,When would Flash be an appropriate language to develop a web site with?,N/A,
1469,,,8.5,What is inverse kinematics? Why is it useful in animation?,N/A,
1509,,,8.5,Discuss the basic idea of curve fitting - if you place points in a window&#44; how do you create a smooth curve through the points.,N/A,
1538,,,8.5,Describe twos complement numbers.,N/A,
1542,,,8.5,What makes a crystal structure electrically conductive or insulative? For example why is copper conductive and silicon not so conductive?,N/A,
1543,,,8.5,How does pipelining work?,N/A,
1591,,,8.5,what is hypothesis testing?,N/A,
1592,,,8.5,sequential file processing...what to do?,N/A,
1603,,,8.5,What is KT decision analysis?,N/A,
,,,,Give an example of when it would be used.,,
1144,,,8.48,What are Crosbyâ€™s four absolutes of quality management? How does each relate to quality management of information systems?,SYS390,
1308,,,8.43,What steps does a designer need to follow to ensure they make an interface that the user will like using?,COS314,
1159,,,8.42,Which is more important&#44; the user interface or the functionality of a program or web page.,COS314,
1123,,,8.42,"What makes up a ""good"" research proposal?",COS310,
258,,,8.4,What is a linked list? [follow on] What are some extensions of a simple linked list?,COS250,
73,,,8.4,What are some of the components of a rule-based language or expert system?,SYS352,
1266,,,8.35,"What is meant by ""collision"" in a hash array? How are they handled?",COS265,
1114,,,8.33,There are at least a few categories of SQL queries. What are these and how do they differ from one another?,COS240,
1667,,,8.33,What kinds of security should an e-commerce site consider?,N/A,
1687,,,8.33,How does AJAX work?,N/A,
881,,,8.33,Discuss hash and heap data structures.,N/A,
140,,,8.33,What are a couple of ways that database integrity can be maintained?,SYS390,
234,,,8.33,In Visual Basic&#44; what are Properties? Give a few examples.[follow on] How can they be set and changed?,COS240,
298,,,8.33,"How does a hash function work? [follow on] Why go to the trouble of hashing?ANWSER:An input value is run through a hash function which returns an index into a hash table.The input value is stored or looked for at the indexed position in the hash table.If storing and something already exists at that location&#44; a ""collision"" occurs andmust be resolved.If searching and the input is not found&#44; additional search must be performed.Why - compresses storage required and minimizes search timeQUESTION:What is the difference between permutations and combinations?",COS252,
243,,,8.33,What are three distinctive characteristics of object oriented programming?,COS250,
260,,,8.33,What is a major advantage of linked lists?,COS250,
294,,,8.33,How does one convert between number systems? Illustrate by converting decimal 13 tobinary.,COS252,
987,SRW,X,8.33,Is AI AI?,COS284,Sometimes
1011,,,8.33,For your project&#44; what did the SRT contain/look like?,N/A,
482,,,8.33,What inevitably follows overtime? (Peopleware),COS340,
309,,,8.33,What is Dijkstra's algorithm used for? [follow on] How does it work?,COS252,
631,,,8.33,What is microprogramming?,COS381,
389,,,8.33,Sometimes one wishes to search a tree structure. What are two standard approachesto doing that? Draw a tree on the board and illustrate the two search algorithms.,COS320,
1224,,,8.33,what is a hash table? why are they used?,N/A,
1248,,,8.33,What is Business Process Reengineering (BPE)?,N/A,
1327,,,8.33,Show that the sequence 1&#44; -1!&#44; 2! -3!&#44; 4!&#44; . . . &#44; (-1)n n!&#44; . . . for n >= 0&#44; satisfies the recurrence relation ,MAT215,
,,,,,,
,,,,sk = (-k ) sk-1,,
1362,,,8.33,What is a page table?,N/A,
1384,,,8.33,How should a developer decide between HTML or Flash web pages?,N/A,
1471,,,8.33,What is a security audit? How is one performed?,N/A,
1472,,,8.33,What is your favorite programming language? Why?,N/A,
1475,,,8.33,Explain how when you type in www.google.com&#44; packets from your system actually get to the correct server?,N/A,
1477,,,8.33,How does a machine determine its IP address when it boots?,N/A,
1484,,,8.33,What is a pointer? How does a pointer translate to machine instructions?,N/A,
1615,,,8.33,What is an ADT?,N/A,
1226,,,8.31,How can a PHP page access the information sent to the server by the client?,COS264,
1158,,,8.29,Why does Donal Norman value the following principles so highly: affordances&#44; visibility&#44; feedback&#44; and memory load?,COS314,
337,,,8.29,What are Java exceptions and how do we handle them?,COS264,
463,,,8.25,What are the objectives in creating and using project metrics?,COS340,
1165,,,8.25,What key project characteristics of a software project or customer organization argue in favor of an agile development methodology as opposed to a prescriptive one?,COS340,
383,,,8.22,How is the complexity of an algorithm measured?,COS320,
257,,,8.2,What is an array? [follow on] How are strings and arrays related?,COS250,
1216,,,8.18,What is a Kepner-Tregoe situation appraisal and what is its purpose in a system development methodology?,SYS390,
1211,,,8.17,If you saw the following performance data for an algorithm&#44; what would be its complexity?,COS265,
,,,,N time(N),,
,,,,1024 1.00,,
,,,,2048 2.15,,
,,,,4096 4.7,,
1178,,,8.17,Why should a web page separate content and presentation?,COS264,
353,,,8.17,Describe Javascript.,COS264,
1112,,,8.15,How does a binary tree work?,COS121,
1251,,,8.13,Describe the various ways the List ADT can be implmented.,COS121,
1128,,,8.06,How does SE differ from programming?,COS340,
1177,,,8.06,Describe the Javascript language.,COS264,
1621,,,8,What is the simplex method?,N/A,
1629,,,8,"Why did Amazon ""win"" the online retail competition?",SYS310,
1654,,,8,Divide and conquer algorithm . . .,N/A,
1732,,,8,what is the truth table for f = (a' b')c ?,N/A,
1754,,,8,If you run code in a situation where interrupts can fire&#44; what are the risks of running instructions that are not atomic?,N/A,
812,,,8,PHP&#44; perl&#44; javascript,N/A,
818,,,8,What is a pointer?,N/A,
821,,,8,differences in web design from artistic and programming standpoint,N/A,
275,,,8,Name two search algorithms.[follow on] Describe the algorithm used in the XXX search.,COS250,
827,,,8,simulation - continous vs discrete sim,N/A,
,,,,example of each,,
289,AK,X,8,What is a recurrence relation? [follow on] Give an example.,COS252,"In mathematics&#44; a recurrence relation is an equation that recursively defines a sequence&#44; once one or more initial terms are given: each further term of the sequence is defined as a function of the preceding terms. The term difference equation sometimes (and for the purposes of this article) refers to a specific type of recurrence relation. However&#44; ""difference equation"" is frequently used to refer to any recurrence relation."
846,,,8,Balanced trees - definition - whyimportant,N/A,
144,,,8,What are four components you expect to find in a DFD?,SYS390,
849,,,8,Main characteristics of OO languages?,N/A,
852,,,8,Main components of AJAX - main idea of how it functions,N/A,
524,,,8,Describe some different types of light sources.,COS350,
867,,,8,How do you maintain integrity in a database?,N/A,
868,,,8,How do you calculate the complexity of a recursive function?,N/A,
334,,,8,"Regular expressions are used in several languages (Perl&#44; Java&#44; PHP) to find and/ormodify patterns in strings. On the board&#44; show us regular expressions that do thefollowing.find ""allan"" in the default stringfind ""allan"" but only at the beginning of a linesubstitute ""Allan"" for ""allan"" everywhere",COS264,
883,,,8,Define negative feedback and describe why it used in systems problems.,N/A,
893,,,8,Compare and contrast two types of serial communication.,N/A,
297,,,8,"What does it mean if a function is ""one to one""?",COS252,
917,,X,8,What are the differences between single-mode and multi-mode fiber-optic cables?,N/A,number of modes
921,,,8,Describe the minimax search algorithm.,N/A,
925,,,8,Describe how entropy&#44; enthalapy&#44; Gibbs free energy and phase transformations are related.,N/A,
629,,,8,What does CISC stand for and why does it exist?,COS381,
950,,,8,Describe to me how a SAR works.,N/A,
679,,,8,What is an abstract base class? Why would someone use an abstract base class?,COS250,
991,,,8,How do you search for information in a graph?,N/A,
333,,,8,What is one of the most powerful features of Perl? Describe what it can do.,COS264,
345,AS,X,8,What are cookies?,COS264,Pieces of data transmitted across the web stored in a user's browser that can be referenced by the web page they oriented from to access a user's previous activity or data.
68,,,8,What distinguishes a knowledge based system from any other system?,SYS352,
973,SRW,X,8,What does the exec() system call do?,COS284,Re-associates the current thread with a new program.
1012,,,8,Tell us about regular expressions.,N/A,
343,,,8,What are some of the functions that can be performed by PHP?,COS264,
59,,,8,When a businessman talks about Supply Chain&#44; what does he have in mind?,SYS310,
1030,,,8,How does a web browser use AJAX to update a web page?,N/A,
424,,,8,Describe several different LAN topologies.,COS331,
1040,,,8,Describe the different uses of a timer in a microcontroller.,N/A,
1044,,,8,Draw and describe a transistor and relate to its performance.,N/A,
1045,,,8,Describe the characteristics of a Linear system&#44; and discuss how one might model/analyze a non-linear system.,N/A,
1048,,,8,Describe how a SAR works&#44; and what are its advantages/disadvantages of this compared to other methods.,N/A,
1052,,,8,What the fundamental rules for an ideal Op-Amp? What is the gain of such an op-amp and why?,N/A,
387,,,8,What does it mean to balance a tree?,COS320,
653,,,8,What considerations does a computer architect look at when designing aninstruction set? Why?,COS381,
311,,,8,How do Huffman codes relate to trees?,COS252,
1109,,,8,How does an HTML packet get from CNN.com to your browser?,,
1199,,,8,What is the difference between forward and backward chaining?,N/A,
1219,,,8,Explain the basic structure of an ASP web server?,N/A,
1239,,,8,What is a context free grammar? Is English context free?,N/A,
1241,,,8,In project scheduling&#44; what is a critical path?,N/A,
1283,,,8,ethical conflict. Rank importance to: yourself&#44; employer&#44; society&#44; customer.,N/A,
1286,,,8,critically damped&#44; underdamped&#44; and overdamped,N/A,
1318,,,8,What are some ways queues are used in simulations?,N/A,
1332,,,8,Assume a floating-point representation that uses the following characteristics:,COS284,
,,,,1. 4-bit (excess 7) exponent,,
,,,,2. 3-bit significand,,
,,,,3. 8-bit total size,,
,,,,,,
,,,,What is the representation of 4.75?,,
1351,,,8,In project scheduling&#44; what is a critical path? What does it tell us about the delivery schedule for the project?,N/A,
1360,,,8,What is a Hamiltonian cycle?,N/A,
1369,,,8,Explain the difference between vector and raster image formats.,N/A,
1378,,,8,Why bother using CSS?,N/A,
1385,,,8,How is animtion in Flash different than animation in Maya?,N/A,
1394,,,8,In project scheduling&#44; how does the critical path relate individual tasks to the delivery schedule for the overall project?,N/A,
1443,,,8,image processing - what is a kernel? How is i tused?,N/A,
1460,,,8,Is software engineering a profession in the truest sense? Explain how ethics fits into this line of work.,N/A,
1468,,,8,What is a critical path and how is it calculated?,N/A,
1198,,,8,What are some other jobs that a systems analyst is qualified to do?,SYS392,
1559,,,8,What is an abstract data type (ADT)?,N/A,
1399,,,8,Why is the instruction set architecture set so important to both software and hardware developers?,COS381,
1575,,,8,Draw the binary search tree that would get created by inserting 2 5 8 1 23 25&#44; in that order. Are there any problems with a tree that looks like this?,N/A,
1587,,,8,sequential file processing limitations and ways to work around,N/A,
1321,,,7.9,How do C/C++ pointers work?,COS121,
1185,,,7.86,"Comment on the usability of <a href=""http://stevenscreek.com/iPhone/images/TripLogMain.jpg"">TripLog/1040</a>&#44; an iPhone app.",COS314,
279,,,7.86,What is the big-Oh complexity of the following algorithm: Stack<char> values; char temp; while (cin >> temp) { values.push(temp); } while (!values.isEmpty()) { cout << values.pop(); },COS250,
329,,,7.83,What types of information can be transmitted using HTML?,COS264,
531,,,7.83,What are some of the features of polygonal modeling?,COS350,
1172,,,7.8,Explain what a system development methodology is and the underlying principles,SYS390,
1309,,,7.8,"How can an office be best organized to allow heads-down developers to get and remain ""in the zone"" for productive programming.",COS340,
247,,,7.8,What does it mean to have public and private variables and methods in an object/class?,COS250,
276,,,7.8,Name two non-optimal sorting algorithms. What are their time complexities?,COS250,
1184,,,7.79,What is the role of documentation for a program or web site?,COS314,
1440,,,7.75,Describe the typical configuration of and parameters for a genetic algorthm.,SYS411,
1353,,,7.73,Discuss the role of containers and layout managers in GUI design.,COS265,
1288,,,7.7,How does unit testing differ from integration testing?,COS340,
1155,,,7.69,Give an example of a divide and conquer algorithm. How are these algorithms typically implemented?,COS265,
1622,SRW,X,7.67,How does proof by induction work?,N/A,First prove for 1. Then prove for n+1. Now you have proved for all cases.
1647,SRW,X,7.67,What characterizes the lisp programming language? What are its strengths?,N/A,Lots of parentheses. Allows programming from the bottom up. Can be used to very quickly write functions. Great for processing lists.
1653,,,7.67,Why should content and presentation be separated? How is this done?,N/A,
1197,,,7.67,Define business process reengineering and the methodolgy for applying the concepts.,SYS390,
1665,,,7.67,What is appropriate technology?,N/A,
1682,,,7.67,What does it mean to say an algorithm is O(n^2)?,N/A,
1685,,,7.67,Why is there so much flash content on the web?,N/A,
1755,,,7.67,What is the logic function of the given two-diode circuit?,N/A,
897,,,7.67,What are the possitive and negative effects of your project for society?,N/A,
929,,,7.67,What are the ACID properties for databases?,N/A,
214,,,7.67,Describe the two basic mechanisms of time keeping used in simulation.[follow on] When would you choose one over the other?,SYS402,
175,,,7.67,"What is the ""Triple Constraint"" of Project Management?",SYS394,
992,,,7.67,What is a pointer? Why are they considered dangerous?,N/A,
528,,,7.67,How many frames a second are needed to make animation by successive images acceptable?And why?,COS350,
1003,,,7.67,Why use prototyping as a development methodology?,N/A,
325,,,7.67,What does HTTP stand for and what is it used for?,COS264,
1057,,,7.67,What does polymorphism mean in an object oriented language?,N/A,
1263,,,7.67,In project scheduling&#44; how do you determine which tasks cannot be slipped in order to stay on schedule?,N/A,
1455,,,7.67,What is a hash table?,N/A,
1254,,,7.67,If you are creating a model that will be used in an animation&#44; what are some additional considerations?,COS425,
1478,,,7.67,waterfall vs. agile,N/A,
1493,,,7.67,What are the properties of a BST?,N/A,
1501,,,7.67,Give two different ways that a web application can ensure that user input is valid.,N/A,
1519,,,7.67,If someone offers to sell you the intellectual property rights to a new O(N) general purpose sorting algorithm&#44; would that be something worth investing in?,N/A,
1574,,,7.67,Operations Research - what is the basic idea of linear programming?,N/A,
967,,,7.6,What is the principle of locality? How does the memory hierarchy take advantage of it?,COS284,
839,,,7.58,What is visibility w.r.t. HCI?,COS314,
1364,,,7.53,Describe the different Perl datatypes.,COS264,
1645,,,7.5,Why is the computer science community pursuing machine-based learning programming? What is the benefit?,N/A,
1272,,,7.5,Explain the difference between sequential and combinational logic.,COS381,
1133,,,7.5,How do architectures deal with data hazards?,COS381,
536,,,7.5,Describe OpenGL. What is it? What can it do? How do you use it?,COS350,
335,,,7.5,What is Java?,COS264,
822,,,7.5,discrete simulation&#44; continuous simulation,N/A,
619,,,7.5,What is the purpose/objective of cache memory?,COS381,
835,,,7.5,Why is balance important for a tree? How do you keep a tree balanced?,N/A,
836,,,7.5,Example of divide and conquer algorithm. Example of greedy algorithm.,N/A,
838,,,7.5,What is virtual memory?,N/A,
870,,,7.5,State definition of ADT,N/A,
633,,,7.5,Describe two's complement representation of negative binary numbers.,COS381,
106,,,7.5,What are Crosby's four absolutes wrt systems analysis?,SYS390,
1,,,7.5,What are some major personality traits that affect how people interact in projectteams?,IAS330,
904,,,7.5,What is the difference between static and dynamic memory allocation - problems with either?,N/A,
923,,,7.5,List and describe several memory addressing modes.,N/A,
927,,,7.5,Given a box of resistors&#44; capacitors&#44; some batteries a voltmeter and timer&#44; how would you experimentally determine the voltage as a function of time for the series RC circuit.,N/A,
953,,,7.5,How do you measure the complexity of a sort algorithm?,N/A,
1009,,,7.5,What if you wanted to print all the elements in the binary search tree - how would you do it? What is the complexity?,N/A,
491,,,7.5,What are some strategies for enhancing team jell? (Peopleware),COS340,
1301,,,7.5,1 KHz square wave&#44; sketch fourier space representation,N/A,
1303,,,7.5,how does heat dissipation work on circuit drawn?,N/A,
1433,,,7.5,Example problem where NN not good approach?,N/A,
1565,,,7.5,What are the differences between electric field and magnetic field?,N/A,
1134,,,7.43,How are syntax and grammar related?,COS382,
1389,,,7.42,What decimal value does the twos complement value 0101 represent? What about 1111?,COS284,
1256,,,7.4,Discuss the concept of key frame animation. What parameters can be key-framed?,COS425,
442,,,7.38,What is parity and what is it used for?,COS331,
1441,SRW,X,7.36,"Define ""machine learning"".",SYS411,"Subfield of artificial intelligence. Deals with algorithms that can ""learn"". They take information as input and try to come up with patterns or ways of interpreting the data in order to make decisions."
1620,,,7.33,What are three ways to traverse a tree? What is the complexity of tree traversal?,N/A,
1693,,,7.33,What is big-oh complexity of binary search?,N/A,
1720,,,7.33,How is event driven programming different than procedural programming?,N/A,
1735,,,7.33,Describe the basic behavior of a public key cryptosystem.,N/A,
473,,,7.33,Describe the major tasks involved in project scheduling.,COS340,
229,,,7.33,Describe the salient points of a normal curve.,CEN493,
9,,,7.33,What are the 5 levels in Maslow's Needs Hierarchy?,IAS330,
931,SRW,X,7.33,How do you do proof by contradiction?,N/A,Provide a counterexample.
935,,,7.33,Compare/Contrast Perl and PHP.,N/A,
938,,,7.33,What are strengths/weaknesses of GUIs?,N/A,
983,,,7.33,What are some strengths of Flash vs. other web technologies?,N/A,
984,,,7.33,Compare flash and Maya for animation.,N/A,
995,,,7.33,Compare Javascript and Flash.,N/A,
489,,,7.33,"What are some characteristics of a ""jelled"" team? (Peopleware)",COS340,
1065,,,7.33,What is AJAX? How does it work?,N/A,
1080,,,7.33,What is an associative entity (DB)?,N/A,
1099,,,7.33,What is a BST?,N/A,
1220,,,7.33,Compare/contrast discrete vs. continuous simulations.,N/A,
1225,,,7.33,What is done during a security audit?,N/A,
1265,,,7.33,Web site design - how will artists and ,N/A,
,,,,"""geeks"" look at the process differently?",,
1120,,,7.33,Given a 32-bit architecture with a 4MB&#44; 64-byte block&#44; 4-way associative L2 cache&#44; how would the machine decide where to find the data located at memory address 0x0a1b2c3d?,COS284,
1495,,,7.33,What does it mean to separate content from presentation? Why should it be done?,N/A,
1556,,,7.33,What is computational complexity? What is the complexity of binary search?,N/A,
1607,,,7.33,What does it mean to normalize a database?,N/A,
1608,,,7.33,How is it possible for a modem/network encoding allow for multiple bits/baud?,N/A,
1365,,,7.29,How can you tell which shading algorithm (Gourard or Phong) was used by looking at a generated image? Why?,COS350,
513,,,7.25,In a TMS&#44; four important properties of every transaction are: atomic&#44; consistency&#44;isolation&#44; durability. What do these four properties mean?,COS341,
1154,,,7.23,How does a web browser communicate with a server to get content to display (e.g.&#44; how does a browser display the Google home page?)?,COS264,
1229,,,7.23,What is the principle of locality? How does the memory hierarchy take advantage of it?,COS284,
1161,,,7.22,For what types of problems are approximation algorithms needed? What is a ratio bound?,COS320,
1124,,,7.2,Briefly describe one MST algorithm. What paradigm does it follow.,COS320,
1419,,,7.2,How does a cache work on the principle of locality?,COS381,
1157,,,7.18,What is an optimization that an application programmer may apply to their code to execute efficiently on an architecture with a memory hierarchy? You may use a matrix-matrix multiply as an example if one does not come to mind.,COS284,
1355,,,7.17,Solve the following recurrence relation:,COS320,
,,,,C(n) = n + c(n-1),,
1313,,,7.15,Compare and contrast forward versus backward chaining as reasoning strategies.,SYS352,
540,,,7.11,What is DirectX? Who developed it?,COS350,
1322,,,7.1,How would the DOM look for the following web page:,COS264,
,,,,,,
,,,,<html>,,
,,,,<head>,,
,,,,<title>Example page</title>,,
,,,,</head>,,
,,,,<body>,,
,,,,<p>This is a short web page.</p>,,
,,,,</body>,,
,,,,</html>,,
1142,AK,X,7.07,Why is RSA encryption secure? Cite two distinct major points.,MAT215,RSA is an algorithm for public-key cryptography that is based on the presumed difficulty of factoring large integers&#44; the factoring problem. RSA stands for Ron Rivest&#44; Adi Shamir and Leonard Adleman&#44; who first publicly described it in 1977. Clifford Cocks&#44; an English mathematician&#44; had developed an equivalent system in 1973&#44; but it was classified until 1997. A user of RSA creates and then publishes the product of two large prime numbers&#44; along with an auxiliary value&#44; as their public key. The prime factors must be kept secret. Anyone can use the public key to encrypt a message&#44; but with currently published methods&#44; if the public key is large enough&#44; only someone with knowledge of the prime factors can feasibly decode the message. Whether breaking RSA encryption is as hard as factoring is an open question known as the RSA problem.
1175,SRW,X,7,How do you develop recursive algorithms?,COS121,Write a function that calls itself. More specifically&#44; you want to have a base case and a recursive case. The base case indicates when to stop recursing&#44; and is what you eventually want to reach. The recursive case(s) call the function again.
